timestampms,seq,event,side,price,size,queue_ahead,inventory,fair_price,reservation_price
1773066943560,141,new,ASK,69226.79,0.01,0.0,0.0,69187.86077422628,69187.86077422628
1773066944067,195,cancel,ASK,69226.79,0.01,0.0,0.0,69224.35395866641,69224.35395866641
1773066944567,424,new,ASK,69216.37999999999,0.01,0.0,0.0,69166.45974030552,69166.45974030552
1773066945073,607,cancel,ASK,69216.37999999999,0.01,0.0,0.0,69193.62091230818,69193.62091230818
1773066946088,722,new,ASK,69216.37999999999,0.01,0.0,0.0,69167.85617715643,69167.85617715643
1773066946596,810,cancel,ASK,69216.37999999999,0.01,0.0,0.0,69182.5192112417,69182.5192112417
1773066947118,872,new,ASK,69216.37999999999,0.01,0.0,0.0,69162.65113126629,69162.65113126629
1773066948121,1116,cancel,ASK,69216.37999999999,0.01,0.0,0.0,69220.67002157039,69220.67002157039
1773066952819,2839,new,ASK,69243.32,0.01,0.0,0.0,69198.56481935654,69198.56481935654
1773066953325,3031,cancel,ASK,69243.32,0.01,0.0,0.0,69249.17121327922,69249.17121327922
1773066953828,3134,new,BID,69212.97,0.01,0.0,0.0,69285.02404475411,69285.02404475411
1773066954340,3204,cancel,BID,69212.97,0.01,0.0,0.0,69254.35642487508,69254.35642487508
1773066954846,3387,new,ASK,69234.18999999999,0.01,0.0,0.0,69187.8845792328,69187.8845792328
1773066955346,3483,cancel,ASK,69234.18999999999,0.01,0.0,0.0,69210.99950199644,69210.99950199644
1773066955850,3691,new,BID,69160.68000000001,0.01,0.0,0.0,69264.2402904312,69264.2402904312
1773066955850,3691,new,ASK,69367.8,0.006999999999999999,0.0,0.0,69264.2402904312,69264.2402904312
1773066956367,3941,replace,BID,69181.56,0.01,0.0,0.0,69271.13854900775,69271.13854900775
1773066956367,3941,replace,ASK,69360.72,0.01,0.0,0.0,69271.13854900775,69271.13854900775
1773066956871,3988,replace,BID,69212.8,0.01,0.0,0.0,69315.5428230364,69315.5428230364
1773066956871,3988,replace,ASK,69418.28,0.006999999999999999,0.0,0.0,69315.5428230364,69315.5428230364
1773066957377,4187,replace,BID,69217.83,0.01,0.0,0.0,69319.13482460333,69319.13482460333
1773066957377,4187,replace,ASK,69420.44,0.006999999999999999,0.0,0.0,69319.13482460333,69319.13482460333
1773066957878,4243,cancel,BID,69217.83,0.01,0.0,0.0,69275.66164202361,69275.66164202361
1773066957878,4243,cancel,ASK,69420.44,0.006999999999999999,0.0,0.0,69275.66164202361,69275.66164202361
1773066958915,4588,new,ASK,69298.11,0.01,0.0,0.0,69237.50907239555,69237.50907239555
1773066959427,4650,cancel,ASK,69298.11,0.01,0.0,0.0,69266.1254423632,69266.1254423632
1773066960437,4901,new,BID,69175.25,0.01,0.0,0.0,69277.50188972408,69277.50188972408
1773066960437,4901,new,ASK,69379.75,0.01,0.0,0.0,69277.50188972408,69277.50188972408
1773066960945,5115,replace,BID,69176.05,0.006999999999999999,0.0,0.0,69275.23861209826,69275.23861209826
1773066960945,5115,replace,ASK,69374.43000000001,0.01,0.0,0.0,69275.23861209826,69275.23861209826
1773066961489,5159,replace,BID,69207.73,0.01,0.0,0.0,69295.30181834727,69295.30181834727
1773066961489,5159,replace,ASK,69382.87,0.01,0.0,0.0,69295.30181834727,69295.30181834727
1773066961994,5316,replace,BID,69166.81,0.006999999999999999,0.0,0.0,69263.47219325861,69263.47219325861
1773066961994,5316,replace,ASK,69360.13,0.01,0.0,0.0,69263.47219325861,69263.47219325861
1773066962507,5555,replace,BID,69272.54000000001,0.01,0.0,0.0,69335.53164467722,69335.53164467722
1773066962507,5555,cancel,ASK,69360.13,0.01,0.0,0.0,69335.53164467722,69335.53164467722
1773066963009,5667,replace,BID,69243.89,0.01,0.0,0.0,69351.01356070956,69351.01356070956
1773066963009,5667,new,ASK,69458.14,0.006999999999999999,0.0,0.0,69351.01356070956,69351.01356070956
1773066963509,5813,replace,BID,69232.92,0.01,0.0,0.0,69332.24838679068,69332.24838679068
1773066963509,5813,replace,ASK,69431.57,0.006999999999999999,0.0,0.0,69332.24838679068,69332.24838679068
1773066964013,6019,replace,BID,69168.85,0.006999999999999999,0.0,0.0,69281.49016584092,69281.49016584092
1773066964013,6019,replace,ASK,69394.13,0.01,0.0,0.0,69281.49016584092,69281.49016584092
1773066964530,6106,replace,BID,69230.22,0.01,0.0,0.0,69337.1577550915,69337.1577550915
1773066964530,6106,replace,ASK,69444.09,0.006999999999999999,0.0,0.0,69337.1577550915,69337.1577550915
1773066965124,6167,replace,BID,69205.22,0.006999999999999999,0.0,0.0,69311.46824385958,69311.46824385958
1773066965124,6167,replace,ASK,69417.72,0.01,0.0,0.0,69311.46824385958,69311.46824385958
1773066965624,6385,replace,BID,69234.28,0.01,0.0,0.0,69318.95959864203,69318.95959864203
1773066965624,6385,replace,ASK,69403.64,0.01,0.0,0.0,69318.95959864203,69318.95959864203
1773066966124,6509,replace,BID,69225.22,0.006999999999999999,0.0,0.0,69309.99082718627,69309.99082718627
1773066966124,6509,replace,ASK,69394.76,0.01,0.0,0.0,69309.99082718627,69309.99082718627
1773066966628,6610,replace,BID,69210.89,0.006999999999999999,0.0,0.0,69290.46028192082,69290.46028192082
1773066966628,6610,replace,ASK,69370.03,0.01,0.0,0.0,69290.46028192082,69290.46028192082
1773066967128,6826,replace,BID,69173.31,0.006999999999999999,0.0,0.0,69261.05174989022,69261.05174989022
1773066967128,6826,replace,ASK,69348.8,0.01,0.0,0.0,69261.05174989022,69261.05174989022
1773066967661,7016,cancel,BID,69173.31,0.006999999999999999,0.0,0.0,69273.81763846452,69273.81763846452
1773066967661,7016,replace,ASK,69342.23,0.01,0.0,0.0,69273.81763846452,69273.81763846452
1773066968167,7177,replace,ASK,69346.23,0.01,0.0,0.0,69276.16242214183,69276.16242214183
