timestampms,seq,best_bid,best_ask,mid,inventory,cash,avg_cost,realized_pnl,equity_mtm,equity_liquidation,trade_count,bid_quote_price,ask_quote_price,bid_quote_size,ask_quote_size
1773066942536,0,69226.78,69226.79,69226.785,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066943546,138,69226.78,69240.65,69233.715,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066944546,419,69216.37,69216.38,69216.375,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066945585,668,69216.37,69223.31,69219.84,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066946596,810,69216.37,69216.38,69216.375,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066947603,958,69216.37,69216.38,69216.375,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,69216.37999999999,,0.01
1773066948609,1480,69226.78,69247.58,69237.18,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066949638,1739,69228.5,69230.06,69229.28,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066950642,2052,69235.33,69235.34,69235.33499999999,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066951682,2592,69241.24,69247.94,69244.59,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066952688,2782,69238.58,69247.09,69242.83499999999,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066953689,3105,69234.93,69249.79,69242.35999999999,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066954693,3368,69234.18,69251.22,69242.7,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066955693,3600,69234.45,69244.18,69239.315,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066956715,3966,69267.28,69279.16,69273.22,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69181.56,69360.72,0.01,0.01
1773066957731,4230,69275.43,69281.35,69278.39,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69217.83,69420.44,0.01,0.006999999999999999
1773066958762,4563,69265.87,69267.72,69266.795,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066959771,4686,69265.87,69270.03,69267.95,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066960771,5059,69282.28,69288.99,69285.63500000001,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69175.25,69379.75,0.01,0.01
1773066961777,5245,69290.13,69294.46,69292.29500000001,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69207.73,69382.87,0.01,0.01
1773066962777,5637,69300.49,69338.16,69319.32500000001,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69272.54000000001,,0.01,
1773066963779,5961,69316.99,69321.61,69319.3,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69232.92,69431.57,0.01,0.006999999999999999
1773066964852,6157,69313.49,69327.78,69320.63500000001,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69230.22,69444.09,0.01,0.006999999999999999
1773066965852,6481,69314.51,69325.05,69319.78,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69234.28,69403.64,0.01,0.01
1773066966855,6662,69304.69,69313.79,69309.23999999999,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69210.89,69370.03,0.006999999999999999,0.01
1773066967855,7115,69287.7,69295.8,69291.75,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,69342.23,,0.01
1773066968859,7278,69295.16,69306.96,69301.06,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69271.6,,0.01,
1773066969890,7468,69295.59,69303.96,69299.775,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066970892,7698,69293.62,69294.33,69293.975,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066971928,7948,69282.3,69303.32,69292.81,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,69339.49,,0.01
1773066972935,8168,69280.34,69290.86,69285.6,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066973958,8270,69278.84,69293.75,69286.295,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,69324.82,,0.01
1773066974965,8625,69275.55,69292.71,69284.13,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,69275.37,,0.01
1773066976059,8693,69275.36,69292.71,69284.035,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,69306.34,,0.01
1773066977059,9083,69270.9,69289.51,69280.20499999999,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69222.58,,0.01,
1773066978068,9248,69266.49,69272.76,69269.625,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,69286.69,,0.01
1773066979068,9652,69261.94,69263.82,69262.88,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,,,,
1773066980093,10031,69263.61,69275.75,69269.68,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69111.4,69343.06,0.006999999999999999,0.01
1773066981101,10278,69264.53,69274.8,69269.66500000001,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69150.59,69359.38,0.006999999999999999,0.01
1773066982118,10474,69282.28,69294.79,69288.535,0.0,20000.0,0.0,0.0,20000.0,20000.0,0,69185.7,69382.98,0.01,0.01
